Dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
Colorectal_GSE25070,849.728995968056,845.8330130840152,849.4111368773274,843.2411923805954,827.9457504304676,881.3539481774936,811.4317073980354,873.0052428673168,861.9693217311149,891.4561010995395,869.2059151050626,867.2809319520638,845.5022710766846,833.6834865962646,879.2172499368985,845.1467829812327,889.538068101094,844.841726527325,877.4817647583772,873.2618552262874,809.5651120419172,888.4597652230997,881.13780197596,841.2958908360814,875.0903523089652,833.1086004112917,879.9232525723132,875.245632545958,869.030847315963,838.0965812506622
Colorectal_GSE32323,868.1403197147781,874.3957468708786,857.7263637804487,861.4726647439197,851.9363961362393,875.1424911016337,879.1616946090516,891.1900443763172,820.2851086756759,856.3280531675937,869.5018682777882,893.6452552283084,881.2861281338926,839.2153642318003,839.9463455931391,809.4538862351328,851.7805970266398,875.1517158295119,839.612551084385,880.0941918065932,860.1841376091498,839.6343310932493,874.9530055611181,850.5197642136886,839.8377032925264,844.4420479168718,821.4169904639076,851.6728082504776,855.9469703122618,885.9081593449821
Colorectal_GSE44076,879.6442330559569,785.2769609916863,869.5887456996836,867.8251079491884,879.7289182358173,867.0110629573464,867.6430355533957,857.7054340090122,873.9043385625337,891.6551451536378,878.4445921971425,873.3869502704082,887.0770514972071,851.4750173930761,880.8672856414563,867.7505655363202,885.9878649024413,883.3040989018014,635.2476597816114,869.0854499004781,884.4048459238234,849.936900882008,867.5565122365952,885.9192923430818,866.4265065998134,706.8069572179303,873.2824496161111,885.5049967790761,875.6297243843508,881.237705352403
Colorectal_GSE44861,846.9250568253683,882.4476355586198,845.7439715091634,871.6157771247642,866.0750057327051,860.3709426750122,813.3092632674258,841.6980305940423,847.2508285654461,859.8513239768125,872.1739317141453,842.9663188307635,879.2090504590107,838.2790220540596,853.7804384405233,832.5491044082747,866.4939992427826,862.5966518521171,862.6568241772414,880.1113935480033,841.1853632585372,881.3842413468826,839.6703924311855,859.8563795636811,880.8338124647265,854.1372241013513,892.4866680597586,882.9954902517416,869.7219605504853,862.5867981703652
Liver_GSE14520_U133A,807.3309218795255,870.3914538405371,890.2124041068134,870.9468425771362,867.4601035592466,857.0220265015791,877.5880351370589,878.9787472376886,883.2913230634589,854.7034763329109,857.340440125499,883.233149422175,861.4290113848026,860.2472563862813,888.184016499505,882.9122016559355,879.9596380751028,887.7803254902502,868.2503324523568,881.5645703686322,878.2382124025248,870.9432075701923,885.67966800318,861.0296571484366,867.8332925027505,883.6896463971182,848.7695132906322,878.4977365433176,890.4250213519933,877.7070648764615
Liver_GSE50579,864.1180751472712,851.5147704823474,856.4583960505389,866.961884472566,849.6057198960696,830.2564724281684,867.8484561265104,893.6248161410609,814.2636642325199,833.8578152400552,874.7490267935176,839.8489779872004,878.2107271435802,827.7816097152217,880.3959110438705,865.8303923010826,875.2086874804653,881.6722100332106,853.9078254479646,872.427082202032,858.5371270345406,874.8743398839348,825.1351835411343,845.2881727501178,828.418417452208,838.4581669075003,857.112434001219,845.8471014331016,851.2769670713011,873.5534116121785
Liver_GSE62232,844.960154384416,858.752365645514,868.3414867296815,862.8966961417514,885.7702158217152,856.8306129539156,843.3526636954725,873.7323016801182,856.404013115022,890.868925626208,857.5353502199541,873.1032247398556,892.1224461989322,879.939191532316,857.4230726314953,808.4999728060268,863.3873988219148,892.9155585103822,851.7747223701368,821.145417912512,851.6843762321414,851.3621104464822,893.3300177379534,849.622498809307,815.1925377452301,884.7409356958276,796.59849343005,863.2746859856134,860.4428973972088,848.1343451854727
Leukemia_GSE22529_U133A,869.660407319665,881.7289922349262,863.6942959250364,864.7350615583589,849.4154285210936,802.9299319539632,893.4801908873494,862.0700567654865,893.146673889171,851.5662842224292,874.146772460191,861.9362336805137,842.4841131180293,862.0308148332784,845.0150159109278,875.5286847879793,869.3057818536025,875.1188139244613,886.5771783473346,892.0256820770093,863.3230345688113,869.9413602062971,881.7079844995693,869.5476013754243,868.0654411450463,857.9583117044702,863.1508490116066,874.5312208829696,860.3227247775881,873.9796548865352
Leukemia_GSE22529_U133B,851.4442734283404,833.3227984592498,887.9096646595704,854.4852089572944,856.0858693599604,866.4063742011786,877.9058828540606,869.1877499129646,874.1976735292692,867.2349967051393,867.5849722286212,875.7726807801425,875.5725657939358,815.328115545538,856.7544622443564,845.5605219271005,825.0990207747718,850.469376281869,881.5681218236085,891.4647107534988,833.7758186662433,879.0758784477061,839.9378543635395,866.7770826667547,881.4395948087516,851.1095064693857,881.9505465783114,844.7991371136361,849.7214223695482,808.6332169728825
Leukemia_GSE33615,875.1526377424395,887.7200420335499,863.8845420971438,869.9119477672502,881.2792843145737,881.6956645972599,892.9703728542347,887.8813333475493,881.3827808288274,857.591307700742,809.6910301317463,875.0656711746096,867.7366043776274,875.7576667580395,887.4440591530131,832.2905531081583,838.8405291835594,863.6971790074806,851.353414280185,869.229008685418,857.72446076996,851.3549693671258,891.1241403253158,863.852420667151,857.8859920299593,857.4706435077236,885.4335285489284,869.3925262969954,886.9706242349074,875.8114217870626
Leukemia_GSE63270,851.1239163972341,887.3683030628407,863.4062957397039,873.8383773374769,869.3258236964735,886.3292885851446,880.1651628062273,885.791617427319,833.6072418657349,877.7642133806723,865.9000941465825,779.5400329664513,867.3099303897571,867.7412288561463,843.219694007174,851.4151812051834,887.6916020039057,871.8367408157312,868.024634176258,821.44808793717,866.9956068532156,843.2843782986358,857.4133913912076,861.6223045754122,868.0322477332178,867.515747508288,861.8932901179194,879.6968549061891,888.164944315309,850.8444892471961
ALL-AML-full,853.1831837814124,851.4485671050875,838.3719230452984,863.0384889332316,869.9206503594899,853.2123185092817,878.3416369471065,844.1757396118419,874.5270846720176,877.2471899518604,848.5916024159185,869.1158337593079,879.9599028493257,827.2989829414691,852.5034692054015,839.5889424533998,862.290065967529,797.3523161233524,863.5170994379188,845.5403632288061,882.0426316711321,826.7785316724515,851.5070722527134,824.8269633760419,823.2368932141572,875.6746208811579,868.8788193501532,823.7439231747213,859.9009351798214,872.5466705765429
Breast_GSE22820,862.3648954180134,845.9866051094939,737.2308934821835,809.473915249124,839.0922275171812,880.8278785604813,863.9553523991996,868.3941324949265,875.3432352978286,839.0407599046051,839.87301162635,868.7878393307328,881.7951757113088,857.6068305440693,875.7705553771002,881.6662933773297,845.6325510925351,881.168937433523,862.969901781529,849.7877958703731,881.3365084497051,875.1009329908239,844.5194745452902,857.918024460697,851.8618447781464,869.4740675603714,844.9441450083997,881.934286623462,863.5772669799175,857.9665032245638
Breast_GSE59246,857.6228461282312,869.4903928243227,847.6498441076724,845.1323519535052,838.8963773256121,860.2328087062018,828.3923435022899,842.8362100694771,864.9273573694961,860.7916537744677,841.0405666506555,873.0984817051448,786.2440543889574,845.0753801767659,863.7681443772964,871.0320225374064,823.6592569781395,869.2942930129724,852.7197270348528,858.6246594995955,859.0378701283657,858.5411936075247,863.9581555841855,859.3965211462164,817.0532067785178,832.7000440587896,853.3203787417112,831.8165633665348,853.273972961417,881.508455709267
Breast_GSE70947,876.3304917094785,882.6147909288128,869.7411332394403,868.7236737579011,875.0950349537734,880.4167184883675,842.5390891311928,872.0252911047473,863.6961565170267,839.1451493070167,871.1374648532427,857.1293276731268,865.9554788348796,863.4398946125012,868.1018802504525,863.7206171751022,858.1618117838275,848.2789800298048,827.5887428716052,870.1191541099715,887.9451781785583,856.9686676978124,871.9310128623047,864.4718729257584,842.8370073240602,870.1453157628135,835.805319247023,875.0946911271781,864.9331261831212,840.5596911313894
breastCancer-full,857.3591275801938,855.1086919343684,861.7814049253192,849.0345328358234,850.2979964708064,854.4613497169706,838.8123834832097,858.5284222276237,877.0146620592608,874.2844538633506,839.0837877270167,872.974657253212,854.619826845247,814.7458595237374,874.6258600930539,851.3775086233945,880.457114329381,861.5523942410946,870.2544930470413,868.6908170662527,871.2338759084132,837.6003632262979,854.993659670695,838.2952727990067,870.5707199486651,851.5805497247691,849.630041538652,849.8175146486518,866.9179099018222,850.5384489139609
Prostate_GSE6919_U95Av2,854.5965673789301,808.1420700387832,837.6787911666732,848.4434226312525,827.7046750395076,848.956789568844,836.7183443191848,856.3906312192516,839.0936913977056,845.7882807540764,843.0261239066214,881.3413288578713,861.4793041569866,831.4564949818017,806.4048332169443,847.194701411908,842.5535831699399,819.0949628297077,805.0716009250466,856.3104878379742,876.1150208654121,867.23025639595,848.7561231524039,848.5322952640219,872.9440204097754,832.354425128472,860.3248452630526,846.3029845146503,837.4336195325475,850.1524204580442
Prostate_GSE6919_U95B,856.5173795520524,835.7800866422737,884.3188057250732,856.7550560749434,866.5696402064578,832.0810668052757,855.2851033815391,856.8910366176052,870.5287750643956,868.1380590864181,867.3330213771937,850.5034530397742,855.060249851227,843.1451077040032,874.1992039266904,843.2450302427968,851.2519969801785,868.6328633100069,863.3690885677263,848.292464229726,843.0052714718845,867.1962791084298,858.3929884472004,848.327768549199,856.0499294416095,866.758150110176,815.5676095311205,857.0472805850759,857.7780740014964,861.0792738404007
Prostate_GSE11682,859.5069870668527,875.4957280946687,842.0897466587961,848.9622633840313,857.64703914003,836.1468780789144,869.1585004231457,868.0857774177989,844.2141979082257,854.7556181613654,828.9377042711683,814.4133336046056,821.2640117394515,860.6557422046166,867.5859565715103,750.2284677026921,829.4938107299611,829.8979617798141,832.1084708490139,745.65884290264,858.7265690083065,869.5457837312982,858.6314710802092,857.4635141960503,835.8471734288339,863.1347065522738,876.011628262464,809.2577282393296,859.5438378336488,833.4378094879328
prostate_tumorVSNormal-full,843.1557917428992,880.1601455395111,858.8705686654141,850.314049807569,877.6597414058175,867.6228647029702,866.0383974221676,842.5422962034606,872.4621683550648,861.0925972461339,861.2682729003475,854.7671251026684,838.490147079044,844.6670038499659,868.237681546996,870.4824901194247,868.5603208396789,879.0399070281093,851.6800523049599,855.051216644485,876.4858091857284,825.4747230453436,882.9094628494039,870.0534644202845,868.1019512631103,870.2775973581788,844.6084857033127,867.7738853372038,814.2732968614573,865.3078045833811
