Dataset,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o,n3o
,time,time_stdev,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std,gmean,g_mean_std,fs,fs_std
Colorectal_GSE25070,126.64727674325307,19.540315351152454,0.8829420099524815,0.21001386477209372,13.833333333333334,14.680701226635842,0.9024682245400449,0.20621379745243246,15.1,14.89121472083688,0.8829420099524815,0.21001386477209372,13.9,14.681327573157164,0.9024682245400449,0.20621379745243246,13.8,14.26449655855283
Colorectal_GSE32323,160.33704833984376,30.931318880214754,0.9316582489435277,0.1259977032172152,13.833333333333334,13.480722720146396,0.9511844635310912,0.11102088808000297,17.233333333333334,16.470838040219036,0.9414213562373095,0.11916012128125572,13.933333333333334,13.87116416896213,0.9511844635310912,0.11102088808000297,16.0,16.24807680927192
Colorectal_GSE44076,562.4455074389775,60.64979153296931,0.9692560870003339,0.03073257594101722,11.5,21.26637300269266,0.9711624522809318,0.03080917944985307,11.366666666666667,20.785411550732725,0.9713582608298802,0.030640972603095146,8.733333333333333,10.786112825529754,0.9713582608298802,0.030640972603095146,11.5,20.69274402229955
Colorectal_GSE44861,151.71380863189697,17.30261879838936,0.8361690241936282,0.1362014510411347,9.433333333333334,4.840086443609163,0.8234986105930073,0.13246137808939834,10.233333333333333,5.334877649977541,0.8417514099329755,0.128246832266958,9.133333333333333,4.313038238941862,0.8355073962725299,0.14033888253085502,9.666666666666666,5.228129047119374
Liver_GSE14520_U133A,538.6731425603231,34.00548469385912,0.922873043782433,0.05350881788358487,6.7,4.662025606817351,0.9238757674900808,0.052505627119166315,6.666666666666667,4.722165877509243,0.9257582837203311,0.05266277670503461,6.766666666666667,4.717416982682975,0.9248455880082276,0.05207080200161206,6.733333333333333,4.675197457259727
Liver_GSE50579,123.44709274768829,17.65575469719156,0.7200749937261917,0.4139202666063329,8.833333333333334,3.7699660049078587,0.7310117643370977,0.41590255239791657,10.466666666666667,4.953113498935123,0.7200749937261917,0.4139202666063329,8.733333333333333,3.9821440536936654,0.7200749937261917,0.4139202666063329,8.4,3.8110547006090694
Liver_GSE62232,224.1851323445638,18.774715979804657,0.9803904648774115,0.04312171235343056,9.1,6.16637153689546,0.9786442092502315,0.03958540692775823,9.466666666666667,6.4043806846581965,0.9803904648774115,0.04312171235343056,9.066666666666666,6.090882577649371,0.9822968301580095,0.04266474109394846,9.5,6.425971012094271
Leukemia_GSE22529_U133A,134.80214546521503,26.58395403620625,0.8435060997513287,0.3426531266289389,8.433333333333334,6.976232227496016,0.8301086401297726,0.3387395178404679,10.333333333333334,7.354723245846067,0.8435060997513287,0.3426531266289389,8.433333333333334,6.976232227496016,0.8435060997513287,0.3426531266289389,8.966666666666667,7.636045796241589
Leukemia_GSE22529_U133B,115.88165136973063,24.77734514450169,0.7910683602522959,0.403703778489416,9.066666666666666,4.961460667386469,0.7935060997513287,0.3764829111715993,9.9,5.2150313253266205,0.7910683602522959,0.403703778489416,9.3,4.976842926719848,0.8101727664179954,0.37410134421858277,9.066666666666666,5.2714804132355875
Leukemia_GSE33615,198.42958075205485,37.69628227659804,0.9734355981457642,0.07716844269204479,12.266666666666667,17.20652108405682,0.9699165045124281,0.07831396322226981,12.333333333333334,18.359125013582968,0.9734355981457642,0.07716844269204479,12.166666666666666,16.107576570934118,0.9734355981457642,0.07716844269204479,11.9,17.63685404741036
Leukemia_GSE63270,237.5981536944707,19.147634929625006,0.9301880918664088,0.06587259014272023,7.866666666666666,4.644116287514129,0.9434493062003947,0.06917465789865451,10.3,10.20192679570029,0.9305771946024882,0.07090122964083408,8.066666666666666,4.755637912417533,0.9378663900151792,0.06220074131858663,7.966666666666667,4.7885159556454715
ALL-AML-full,110.01582213242848,12.865599914709083,0.8277060958381107,0.16050336416851982,10.0,6.5705718010766345,0.8238006701361182,0.15616529076647234,10.133333333333333,4.423552428982166,0.8364384844703188,0.15659302081927662,10.0,6.5705718010766345,0.8308786751223336,0.14651728745147327,10.033333333333333,6.5678597434168315
Breast_GSE22820,209.7616996129354,40.22775669173458,0.9239566276555097,0.2517416885633918,17.166666666666668,24.908222341826907,0.9493323032447312,0.18101484294837297,15.633333333333333,15.957882785272792,0.9239566276555097,0.2517416885633918,17.2,24.89896826556585,0.957289960988843,0.18162066060671164,13.366666666666667,14.86603008791226
Breast_GSE59246,143.43803629080455,20.37186884790678,0.778553047743478,0.13441929880089162,11.7,5.0797094676627,0.7741429776345244,0.1038477287187466,14.1,6.498540950302508,0.7849528354720255,0.13245750338233353,11.6,4.973030714037328,0.7879186550348858,0.10862660785797236,11.133333333333333,4.485481047767904
Breast_GSE70947,503.59664867719016,34.529926672451936,0.8121508943946465,0.08624925838031688,7.0,3.81467221893717,0.8104652968962013,0.09887221325547901,7.833333333333333,5.8961315975893855,0.811846813025196,0.0882359730392445,7.0,3.81467221893717,0.8088457004730389,0.09594117015826535,7.2,3.809244653154508
breastCancer-full,104.99334499835967,14.847602592319081,0.6259623953357687,0.14564155204322335,9.166666666666666,4.218868399785972,0.626262206449439,0.19287922460051768,14.066666666666666,12.002681692692343,0.6243651874687823,0.14264053932539775,9.2,4.25400419888579,0.6343738568095938,0.1476358864298187,9.233333333333333,4.199206274206274
Prostate_GSE6919_U95Av2,123.1197296778361,17.777826147334903,0.5988031626888368,0.16470391033046033,10.9,3.799727757943029,0.609250252723807,0.1792594155791569,12.6,6.641561926805035,0.6035530850516361,0.16873550611654908,10.633333333333333,3.925893997315888,0.6012147399214106,0.16599566237519978,10.4,3.6350781426880325
Prostate_GSE6919_U95B,112.73248748779297,12.385912445089982,0.5912945390692831,0.1296299132937487,9.866666666666667,3.5886154599706317,0.5956287607308919,0.13687388081273083,13.9,9.802708985187506,0.594826064015903,0.12767958202578003,9.833333333333334,3.5339079992448075,0.6015119327663319,0.13972099820298006,9.8,3.5467323475034855
Prostate_GSE6919_U95C,103.50976306597391,12.324867062993386,0.6156427302026021,0.16569472648125574,10.666666666666666,5.658885800733845,0.6475625625428237,0.1422174748532981,11.033333333333333,5.786329509749881,0.6201086500777605,0.17913821764682897,10.566666666666666,5.82907890833022,0.6182542483551942,0.18872078734639136,10.666666666666666,5.880026585286682
Prostate_GSE11682,103.53115718364715,15.885709977216454,0.39260581976840075,0.41003869071098814,11.0,6.721042612058299,0.4023689270621825,0.4211223671802262,14.066666666666666,7.9997126385171216,0.39260581976840075,0.41003869071098814,11.033333333333333,6.728648649147774,0.35927248643506743,0.3994694073445912,11.266666666666667,6.736075463033216
prostate_tumorVSNormal-full,127.41181853612264,20.979201342215767,0.6538617245151062,0.1636150137286008,7.633333333333334,3.925893997315888,0.6525529652966436,0.17630589606852076,7.766666666666667,3.8118086333748793,0.6446022062982604,0.16585568167346115,7.3,3.6873502307399457,0.6540202918146948,0.182561587213189,7.3,3.706006308497152
