Dataset,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,sms_moneat,,,,,,,,,,,,,,,,
,time,gmean,fs,gmean,fs,gmean,fs,,,,,,,,,,,,,,,,
Colorectal_GSE25070,356.5901786,0.904041782,3.833333333,0.892288269,3.7,0.934009994,5,,,0.867505682,2.533333333,0.867505682,2.866666667,0.934009994,3.466666667,,,-0.0365361,-1.3,-0.024782587,-0.833333333,9.99201E-16,-1.533333333
Colorectal_GSE32323,777.4391284,0.980473785,2.566666667,0.990236893,2.4,0.980473785,2.866666667,,,0.884517797,2.1,0.884517797,1.766666667,0.894280904,2.7,,,-0.095955989,-0.466666667,-0.105719096,-0.633333333,-0.086192881,-0.166666667
Colorectal_GSE44076,566.1857687,0.962945156,2.3,0.962945156,2.3,0.970121929,2.966666667,,,0.951449016,1.766666667,0.953159573,1.8,0.971224695,2.5,,,-0.011496139,-0.533333333,-0.009785583,-0.5,0.001102766,-0.466666667
Colorectal_GSE44861,309.065754,0.812340713,3.366666667,0.809418132,2.833333333,0.813532561,3.466666667,,,0.832607086,2.533333333,0.838498517,2.133333333,0.824518714,2.633333333,,,0.020266373,-0.833333333,0.029080385,-0.7,0.010986153,-0.833333333
Liver_GSE14520_U133A,487.3991266,0.925824997,2.633333333,0.918209818,2.433333333,0.917556706,3.1,,,0.918495071,2.366666667,0.918436397,2.3,0.909376645,2.866666667,,,-0.007329926,-0.266666667,0.000226578,-0.133333333,-0.008180061,
Liver_GSE50579,266.9963539,0.779002029,3.4,0.806960606,2.6,0.815838332,3.3,,,0.816267005,2.466666667,0.78314987,2.166666667,0.778634142,2.7,,,0.037264975,-0.933333333,-0.023810737,-0.433333333,-0.03720419,
Liver_GSE62232,608.9751612,0.937836877,2.033333333,0.97117021,1.966666667,0.978397719,2.733333333,,,0.948436641,1.833333333,0.950589496,1.633333333,0.959660847,2.266666667,,,0.010599764,-0.2,-0.020580714,-0.333333333,-0.018736872,
Leukemia_GSE22529_U133A,345.9428665,0.879094168,3.266666667,0.812427501,3,0.872488872,3.333333333,,,0.805706947,2.366666667,0.801241127,2.1,0.83904028,2.266666667,,,-0.073387221,-0.9,-0.011186374,-0.9,-0.033448592,-1.066666667
Leukemia_GSE22529_U133B,356.9712111,0.776839433,2.7,0.765696708,2.466666667,0.740818474,3.133333333,,,0.872373613,2.5,0.872373613,2.2,0.861779038,2.733333333,,,0.09553418,-0.2,0.106676905,-0.266666667,0.120960565,-0.4
Leukemia_GSE33615,381.535673,0.992961813,2.966666667,0.992961813,2.866666667,0.989442719,3.4,,,0.98071033,2.466666667,0.984229424,2.466666667,0.983198705,3.066666667,,,-0.012251482,-0.5,-0.008732389,-0.4,-0.006244014,
Leukemia_GSE63270,309.9805327,0.898016666,2.466666667,0.904875471,2.333333333,0.928663575,2.8,,,0.910884068,2.266666667,0.920213327,2.266666667,0.91190163,2.566666667,,,0.012867402,-0.2,0.015337856,-0.066666667,-0.016761945,
ALL-AML-full,394.7711754,0.817390212,4.1,0.816341572,3.8,0.863211572,5.566666667,,,0.811586352,2.733333333,0.813084038,2.633333333,0.836903481,3.233333333,,,-0.005803859,-1.366666667,-0.003257534,-1.166666667,-0.026308091,-2.333333333
Breast_GSE22820,471.9729025,0.856037931,3.266666667,0.889371264,2.866666667,0.953366805,3.666666667,,,0.952720851,2.8,0.951413148,2.7,0.987361887,4.3,,,0.09668292,-0.466666667,0.062041884,-0.166666667,0.033995082,0.633333333
Breast_GSE59246,197.2483502,0.699781408,3.566666667,0.700130214,3.233333333,0.746783348,3.6,,,0.711361773,3.3,0.713303844,2.933333333,0.705472581,3.233333333,,,0.011580365,-0.266666667,0.01317363,-0.3,-0.041310768,-0.366666667
Breast_GSE70947,413.3867748,0.802778655,3.866666667,0.796043821,3.233333333,0.794303687,3.866666667,,,0.781823168,2.333333333,0.778293818,2.166666667,0.783679484,2.766666667,,,-0.020955488,-1.533333333,-0.017750003,-1.066666667,-0.010624203,-1.1
breastCancer-full,353.7149622,0.61960873,3.6,0.635147175,3.033333333,0.616675161,3.766666667,,,0.64983957,3.033333333,0.658529617,2.633333333,0.631441335,3.466666667,,,0.030230839,-0.566666667,0.023382442,-0.4,0.014766174,-0.3
Prostate_GSE6919_U95Av2,170.6454486,0.629072738,4.1,0.617487599,3.5,0.632496091,4.066666667,,,0.612942302,3.9,0.603838573,3.366666667,0.650196359,3.766666667,,,-0.016130436,-0.2,-0.013649026,-0.133333333,0.017700268,
Prostate_GSE6919_U95B,216.2835346,0.597897296,4.9,0.584393091,4.366666667,0.579916539,4.666666667,,,0.648593116,4.266666667,0.632517798,3.7,0.63345755,4.133333333,,,0.05069582,-0.633333333,0.048124706,-0.666666667,0.053541011,
Prostate_GSE6919_U95C,159.1616942,0.604342114,5.4,0.612320479,4.7,0.59539963,4.9,,,0.56989704,3.833333333,0.568591097,3.433333333,0.554296628,3.966666667,,,-0.034445074,-1.566666667,-0.043729382,-1.266666667,-0.041103002,
Prostate_GSE11682,159.8514561,0.360947571,3.7,0.408088023,2.8,0.384517797,3,,,,,,,,,,,,,,,,
prostate_tumorVSNormal-full,272.8484859,0.635634683,3.133333333,0.649131335,2.7,0.655284825,3.433333333,,,0.594019625,2.8,0.60053223,2.433333333,0.625443571,2.966666667,,,-0.041615058,-0.333333333,-0.048599104,-0.266666667,-0.029841254,-0.466666667
,360.8079304,0.784422322,3.388888889,0.787411674,3.006349206,0.798252387,3.649206349,,,0.806086853,2.71,0.804700949,2.485,0.813793924,3.08,,,0.000490793,-0.663333333,-0.001676907,-0.531666667,-0.005145193,-0.7
